ident	gene	coefD	pvalD	padjD	coefC	pvalC	padjC	mastfc	alpha	ref_alpha	mu	ref_mu	mean	ref_mean	log2fc
Immature Goblet	ACADS	-1.399232089	7.56115E-13	1.32923E-10	-0.247176652	0.019924764	0.590435672	-0.081129806	0.189516129	0.236669785	1.250975078	1.741596584	-1.148588116	-0.337432219	-0.811155897
Immature Goblet	COX7C	-1.412555122	3.12859E-10	3.28225E-08	-0.090212781	0.221256306	1	-0.442445291	0.806451613	0.919550982	3.428342436	3.620127568	3.118002864	3.499129212	-0.381126348
Immature Goblet	FAM213A	-1.436379861	1.31362E-12	2.21933E-10	-0.208690493	0.134254055	1	-0.102553458	0.129032258	0.208606174	0.838200077	1.667821	-2.115903226	-0.593295824	-1.522607402
Immature Goblet	GPX4	-1.448857587	1.23616E-16	4.12339E-14	-0.183920497	0.063708447	0.98715638	-0.409479775	0.334677419	0.437792329	1.317262431	2.078550903	-0.261874795	0.886876975	-1.14875177
Immature Goblet	NDUFA4	-1.452378564	1.27786E-13	2.59745E-11	-0.25602698	0.000769569	0.052411318	-0.419288772	0.705645161	0.852198316	2.88720766	3.370596078	2.384223851	3.139857597	-0.755633746
Immature Goblet	JUN	-1.459470881	3.37251E-19	1.90752E-16	-0.039821243	0.735706036	1	-0.605938971	0.455645161	0.63797942	2.405662514	2.863429404	1.271650721	2.215013116	-0.943362395
Immature Goblet	SUCLG1	-1.479344121	1.34012E-17	5.448E-15	-0.364324114	0.000133125	0.012549429	-0.12553871	0.350806452	0.468662301	1.675437018	2.125247109	0.164198476	1.031874166	-0.86767569
Immature Goblet	KLK1	-1.525590304	1.28738E-11	1.82039E-09	-0.942778004	6.18353E-34	1.34069E-30	-0.033953534	0.818548387	0.937324602	3.491222496	4.637174708	3.202362589	4.54379543	-1.341432841
Immature Goblet	IER2	-1.527864111	8.64724E-20	5.92063E-17	-0.305838201	0.003378383	0.175097167	-0.453911046	0.455645161	0.63049579	1.884799543	2.771095732	0.750790164	2.10565649	-1.354866326
Immature Goblet	RNASE1	-1.54481098	7.92814E-18	3.43791E-15	-0.569232387	9.01335E-10	2.54901E-07	-0.113330229	0.681451613	0.869971936	3.100660386	4.027847075	2.547344855	3.826888069	-1.279543214
Immature Goblet	PRDX5	-1.575555418	3.77717E-13	7.22606E-11	-0.825998614	2.34428E-23	2.77243E-20	-0.325447609	0.778225806	0.914873714	3.031345175	3.987713221	2.66960676	3.859357883	-1.189751123
Immature Goblet	FCGRT	-1.581385525	3.65536E-19	1.98136E-16	-0.379893676	8.36124E-05	0.008564671	-0.251521478	0.427419355	0.567820393	1.576807689	2.448032581	0.350542896	1.631542585	-1.28099969
Immature Goblet	ACAA2	-1.601952229	8.0537E-17	2.83164E-14	-0.181086587	0.177628165	1	-0.191017023	0.169354839	0.265668849	0.961560929	1.791087278	-1.600255915	-0.121192065	-1.47906385
Immature Goblet	ZG16	-1.608830518	1.97482E-17	7.77645E-15	-0.483344214	0.015391397	0.510172439	-0.342047404	0.725806452	0.907390084	7.348651785	8.086701919	6.886308628	7.946496727	-1.0601881
Immature Goblet	MACROD1	-1.640443606	3.64854E-16	1.15765E-13	-0.303149605	0.005923012	0.268475495	-0.038131892	0.141129032	0.231057063	1.036167172	1.794194946	-1.788673019	-0.319460322	-1.469212697
Immature Goblet	RARRES2	-1.653454494	1.85768E-18	9.29484E-16	-0.344851166	0.092466298	1	-0.27093312	0.133064516	0.288119738	1.029607583	2.416453428	-1.88011599	0.621205232	-2.501321222
Immature Goblet	PXMP2	-1.817528766	7.58035E-22	5.80075E-19	-0.285471318	0.004475029	0.220513839	-0.080014101	0.213709677	0.328344247	0.991864329	1.779200136	-1.234365953	0.172495901	-1.406861853
Immature Goblet	HMGCS2	-2.056495982	2.12167E-35	3.94297E-32	-0.534974152	6.74281E-07	0.000116956	-0.206310669	0.306451613	0.58746492	1.424248598	2.54057901	-0.281999425	1.773156594	-2.055156019
Immature Goblet	URAD	-2.667616541	1.04171E-52	3.38789E-49	0.003285023	0.978415462	1	-0.12653171	0.149193548	0.533208606	2.418058301	2.481391882	-0.326658359	1.574167715	-1.900826073
